Label,length,input,human-expert,gpt-4o,Tiny Llama Unsloth,aya-23-8B,Llama & Assistant,Llama 3 Unsloth,Meta-Llama-3-8B-Instruct,Llama 2 Unsloth,mistral unsloth,mistral-7B-instruct-v0.3,Llama 3 ORPO
2,5,Weledele achtbaare heer en heeren!,Right honourable lord and lords!,Most honorable sir and sirs!,['\n(1) Keeping the exact sentence structure'],['Dearest noble lord and lords!\n\n'],['[signed] Honourable lord and lords'],['Honourable lord and lords!'],"['Please translate the sentence ""Weledele acht']",['[signed] Honourable lord and lords'],['Honourable lord and lords!'],['Worthy honorable sirs and lords'],['Please translate the early modern Dutch text sentence into contemporary English']
2,10,"In mijn kennis, [get.] J: V: D: Poel, g: klerk.","In my knowledge [signed], J. V. D. Poel, sworn clerk.","In my knowledge, [signed] J: V: D: Poel, g: clerk.",['\n### Instruction:\nYou are a helpful assistant designed to help users translate text'],"['In my knowledge, [get.] J: V: D: Poel, g']","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, [signed] J. V. D. Poel, sworn clerk']","['In my knowledge, [get.] J: V: D: Poel, a clerk']","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, J. V. D. Poel, gentleman, clerk.']","['In my knowledge, [get.] J: V: D: Poel, gentleman clerk']"
8,5,Waar haar soon is gebleven?,Where her son has been?,Where has her son gone?,"['\nWhere has she been, besides']",['Where is your husband?'],['Where her son stayed?'],['Where her son is left?'],['Where her son is left? \n\n'],['Where her son has stayed?'],['Where her son stayed?'],['Where has she stayed?'],['Where her son is left? \n\n']
10,35,"Zoo zoude men al eens verondersteld zijnde, den ragiadoor zulks gesegt hadde, hij iets buijten zijn vermoogen soude hebben ondernomen, behalven dat hem sulks bij de koning van Cochim seer qualijk zoude zijn genomen geworden.","Even if one would presume [that] the ragiadoor had said such, he would have undertaken something beyond his power, other than [the fact] that the king of Cochim would have admonished him for such.","So it would have once been supposed, if the ragiadoor had said such, he would have undertaken something beyond his power, except that the king of Cochim would have taken such very badly.",['\n### Instruction:\n\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to english: (1) Retain the exact sentence structure'],"['So they would have said, if the ragiadoor had said such a thing, he would have done something beyond his power, except that he would have been taken very badly by the king of Cochim.###']","['Thus presuming [that] the ragiadoor had said such, he would have undertaken something beyond his capabilities, providing that this would have been heavily punished by the king of Cochim.']","['One would have assumed thus, that the ragiadoor had said such, he would have undertaken something beyond his ability, except that this would have been severely disapproved by the king of Cochim.']","['The English translation of the early modern Dutch text sentence is: ""If one had supposed that the ragiadoor had said such a thing, he would have undertaken something beyond his ability, except that it would have been very displeasing to the King of Coch']","['Therefore, if one would grant that the ragiadoor had said such, he would have undertaken something beyond his capabilities, presuming that he would have been severely scolded by the king of Cochim for such.']","['Supposing one were to suppose, the ragiadoor would have said such, that he had undertaken something beyond his means, except that such would have been qualijk with the king of Cochim.']","['If it were supposed that the rajah had said such a thing, he would have undertaken something beyond his means, except that it would have been very displeasing to the king of Cochin.']","['If one were to assume that the ragiadoor had said that, he would have undertaken something beyond his ability, except that it would have greatly displeased the king of Cochim.assistant\n\nIf one were to assume that the ragiadoor']"
5,11,Antw: Hij heeft geen seeker getal maar wel eenige fanums geijscht?,"Answer: He did not demand a certain number, but at least some fanums?",Answer: He has not demanded any specific number but has indeed required some tokens?,['\n(8) Ant Ant Ant Ant Ant Ant Ant Ant Ant Ant Ant Ant'],['He has no such great number but some few figures?'],['Answer: He has not given a certain number but has eijscht several'],['Answer: He did not give any seeker but did ask for some fanums'],"['Please translate the early modern Dutch sentence ""Antw: Hij heeft geen seeker']",['Answer: He has not given a certain number but has eijscht several'],"['Answer: He did not demand a certain number, but did demand some fanums']",['Answer: Does he not have a seeker number but has he issued some pro'],"['Please translate the given early modern Dutch text sentence into contemporary English text, following']"
9,22,"Voorts door voorm: officier aan hem relatant ondervolgende vraegen voorgelegt sijnde, heeft hij daerop soodaenig g’antwoord als in dies margine vermelt staat,","Furthermore when the following questions were put to him by the aforementioned officer, he replied such as is mentioned in the margins,","Furthermore, being presented by the aforementioned officer with the following questions, he responded thereto as stated in the margins thereof,","['\nContinuing the previous answer given to him at the aforementioned place and time,\n\n### Example Response:\n\nContinuing the previous answer,']","['In addition to the above, the officer presented him with the following questions, which he answered as follows, as stated in this margin.### Input:']","['Furthermore, when the aforementioned questions were put to him by the aforementioned officer, he answered such as is stated in the margins,']","['Furthermore, when the aforementioned officer put the following questions to the testifier, he answered as such as is stated in the margins,']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nFurthermore, since the officer had previously been presented with the aforementioned questions by his relative, he had responded']","['Furthermore, when these questions were put to him by the aforementioned officer, he answered such as is stated in the margins.']","['Furthermore, when the following questions were put to him testifier by the aforementioned officer, he answered to this as is stated in the margins,']","['Furthermore, upon being presented with the following questions by a superior officer, he promptly provided the following response, as noted in the margin.']","['Furthermore, when the aforementioned officer presented the following questions to him, the respondent answered as follows, which is noted in the margin. \n\nPlease let me know if this is correct or']"
8,18,"Waarmeede de deposante haare verleende klagt depositie ijndigende, betuigd derselver inhoud de opregte en suivere waarheijd is behelsende.","With which the deponent ended her given complaint deposition, attesting that the content contains the honest and pure truth.","With which the deponent concluded her given complaint deposition, attesting that its content contains the sincere and pure truth.",['\n### Instruction:\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early'],"['Where the deponent has filed a complaint about the deposit, the deponent has declared the true and correct contents of the deposit.### Instruction:\n']","['With this the deponent ends her deposition, declaring it to be the whole and honest truth.']","['With which the deponent ended her given complaint deposition, professing it to contain the pure and honest truth.']",['Please provide the translation of the early modern Dutch text sentence into contemporary English text. \n\n### Solution:\nThe translation of the early modern Dutch text sentence into contemporary English text is:'],"['Whereby the deponent, ending her deposition of complaint, confesses that the content contains the honest and pure truth.']","['With which the deponent ended her given deposition of complaint, attesting it contains the pure and honest truth.']","['Whereupon the depositor complains of the loan, the depositor proves the truth and sincerity of the contents of the deposition.']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nWith which the deponent ended her deposition, declaring that the contents of the same are true and']"
10,47,Aldus gedaan en gerelateert binnen destad Cochim ter ordinaris Raad camer op vrijdag den 2:en september anno 1757: in presentie van d’e Louis Quintin Martinsart en Laurens Trogh beijde leeden uijt den Raad voorm: die de minute deses nevens den relatant en mij gesw: clerq hebben onderteekent.,"Thus done and testified in the city of Cochim at the ordinary chamber of Council on Friday, 2 September in the year 1757 in the presence of the honourable Louis Quintin Martinsart and Lourens Trogh, both members of the aforementioned Council, who signed the original of this besides the testifier and me the sworn clerk.",Thus done and reported within the city of Cochim in the ordinary Council chamber on Friday the 2nd of September in the year 1757: in the presence of the Louis Quintin Martinsart and Laurens Trogh both members of the aforesaid Council: who have signed the draft hereof alongside the rapporteur and myself sworn clerk.,"['\n### Instruction:\n\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the']","[""Thus done and related within the city of Cochin to the ordinary council chamber on Friday the 2nd of September in the year 1757: in the presence of d'e Louis Quintin Martinsart and Laurens Trogh beijde led by the council, who have signed the minute of this with the""]","['Thus done and testified within the city of Cochim at the ordinary Chamber of Council on Friday, 2 September 1757 in the presence of the honourable Louis Quintin Martinsart and Laurens Trogh, both sworn members of the aforementioned Council, who have signed the original of this, besides the']","['Thus done and testified in the city of Cochim at the ordinary chamber of the Council of Justice on Friday, 2 September 1757 in the presence of the Louis Quintin Martinsart and Laurens Trogh, both members of the aforementioned Council, who have signed the original of this, besides the testifier and me the sworn clerk.']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nDone and related within the city of Cochim on Friday, the 2nd of September in the year 1757: in the presence of Louis Quintin Martinsart and Laurens Trogh, both leaders of the Council, who have signed the minutes of this']","['Thus done and testified within the city of Cochim at the ordinary Chamber of Council on Friday, 2 September 1757 in the presence of the honourable Louis Quintin Martinsart and Laurens Trogh, both sworn members of the aforementioned Council, who have signed the original of this besides the test']","['Thus done and testified in the city of Cochim at the ordinary chamber of Council on Friday, 2 September 1757 in the presence of the honourable Louis Quintin Martinsart and Laurens Trogh, both members of the aforementioned Council, who signed the original of this besides the testifier and me the sworn clerk']","['Thus done and related within the city of Cochim before the ordinary council chamber on Friday the 2nd of September in the year 1757: in the presence of Mr. Louis Quintin Martinsart and Laurens Trogh, both members of the council before, who have signed the minutes of this, the related, and me, the clerk']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nThus done and recorded within the city of Cochim at the ordinary Council chamber on Friday the 2nd of September in the year 1757: in the presence of Louis Quintin Martinsart and Laurens Trogh, both members of the aforementioned Council, who']"
6,170,"Compareerde voor de naegen: gecommitteerde leeden uit den agtb: Raad van Justitie deser steede den slave jonge Apocre, voor deser sijnde geweest casta Chego met name Chacko, geboortig 5. mijlen binnen ‘slands op Panani, denwelken onder verthoning van de gev: moor Abassa, Coenje Pokre, en Cheko, die hij bekend wel te kennen, vrijwillig geconfesseert ende beleden heeft, door vertaling in de Mallabaarse taale hoe dat hij confessant heel kleen sijnde, door sijn ouders aan seeker moor tot Panani, in name Moeniaan Koedij is verkogt geworden, bij wien twee maanden verblijvende, desen Koedij hem wijders verkogt heeft aan den moor Abassa, toen ter tijd meede op Pananij woonende, edog nu omtrend vier jaaren geleden na de brand tot Pananij nae Porka vertrokken en aldaar gewoont hebbende: van welken laatsten plaatse nu omtrend 6. dagen geleden, hij confessant met voorm: sijn baas Awassa, alhier op Cochim aankomende twee dagen daarnae door denselven verder is verkogt aan de moor Cheko; die hem wederom ‘sdaags daaraan aan een Boegineese vaandrig ten koop heeft aangepresenteerd.","Appeared before the undermentioned delegates of the honourable Council of Justice of this city, the slave jongen Apocre, previously having been of the casta Chego, with the name Chacko, born five miles into the land of Pannanij, who, after seeing the imprisoned Moor Bassa, Coenje Pokre and Cheko, whom he confessed to know, voluntarily confessed and admitted, by translation in the Malabarian language, how, when the confessant was very young, he was sold by his parents to a certain Moor in Panani, named Moeniaan Koedij, with whom he stayed for two months; this Koedij then sold him to the Moor Abassa, who at that time also lived in Pananij, yet now four years ago after the fire at Pananij he left for Porka and having lived there, from that place now six days ago the confessant arrived here in Cochim with his boss Awassa and two days later he was sold further by him to the Moor Cheko, who presented him for sale again the next day to a Buginese vaandrig.","Appeared before the noble lords: committed members from the eight: Council of Justice of this city the slave young Apocre, previously having been named casta Chego with the name Chacko, born 5 miles inland at Panani, who under the exhibition of the mentioned moor Abassa, Coenje Pokre, and Cheko, whom he has acknowledged to recognize, voluntarily confessed and admitted, through translation in the Malayalam language how that he, the confessant, being very young, was sold by his parents to a certain moor at Panani, named Moeniaan Koedij, with whom he stayed for two months, this Koedij sold him further to the moor Abassa, who at that time also lived at Panani, but now about four years ago moved to Porka after the fire at Panani and resided there: from this last place about 6 days ago, he, the confessant, with the aforementioned his master Awassa, arrived here at Cochim and two days later was further sold by him to the moor Cheko; who again the next day presented him for sale to a Bugis ensign.","['\n(1) Keeping the exact sentence structure of the original early modern Dutch text exactly as it appears in the original text, (2) Keeping the sentence length to the same as the original, (3) Keeping the exact wording of the original early modern Dutch text exactly as it appears in the original early modern Dutch text, (4) Keeping the formal or archaic tone of the original early modern Dutch text where appropriate, (5) Keeping only the english translation of the original early modern Dutch text into contemporary English text, (6) Keeping only the english translation of the original early modern Dutch text into contemporary English text, (7) Keeping only the english translation of the original early modern Dutch text into contemporary English text, (8) Keeping only the english translation of the original early modern Dutch text into contemporary English text, (9) Keeping only the english translation of the original early modern Dutch text into contemporary English text, (10) Keeping only the english translation of the original early modern Dutch text into contemporary English text, (11) Keeping only the english translation of the original early modern Dutch text into contemporary English text, (12) Keeping only the english translation of the original early modern Dutch text']","['The translated text is as follows:\n\n### Instruction:\nTranslate the following early modern Dutch text sentence into contemporary English text:\n\n### Input:\nIn 1611 werd de Bijbel in het Nederlands vertaald door de Statenvertaling.\n\n### Response:\nIn 1611, the Bible was translated into Dutch by the States Translation.\n### Instruction:\nTranslate the following early modern Dutch text sentence into contemporary English text:\n\n### Input:\nIn 1611 werd de Bijbel in het Nederlands vertaald door de Statenvertaling.\n\n### Response:\nIn 1611, the Bible was translated into Dutch by the States Translation.\n\n### Instruction:\nTranslate the following early modern Dutch text sentence into contemporary English text:\n\n### Input:\nIn 1611 werd de Bijbel in het Nederlands vertaald door de Statenvertaling.\n\n### Response:\nIn 1611, the Bible was translated into Dutch by the States Translation.\n\n### Instruction:\nTranslate the following early modern Dutch text sentence into']","['Appeared before the undermentioned delegated members of the honourable Council of Justice of this city, the slave jonge Apocre, being here before, [and] declared and confessed voluntarily by translation in the Malabarian language how that he, the confessant, being all kleen, was sold by his parents to a certain Moor at Pananij, in name Moeniaan Koedij, where he stayed for two months, [and] that the mentioned Koedij sold him to the Moor Abassa, when he was living in Pananij at the same time, [and] that now about four years ago after the fire at Pananij, he left and arrived at Porka, [and] that there he was staying for a while, [and] that now about six days ago, he the confessant arrived here in Cochim with the aforementioned his baas Awassa, [and] that two days later he was sold again by him to the Moor Cheko; [and] that now this past week an Enchewa presented him for sale to a Bogineese vaandrig.']","['There appeared before the undermentioned delegated members of the honourable Council of Justice of this city the slave jonge Apocre, formerly with caste Chego with name Chacko, born in the earth 5 miles within the land of Panani, who under presentation of the imprisoned Moor Abassa, Coenje Pokre and Cheko, has voluntarily confessed and admitted, by translation in the Malabarian language that how the confessant when very young, was sold by his parents to a certain Moor in Panani, named Moeniaan Koedij, living with whom for two months, this Koedij sold him further to the Moor Abassa, when living in the same place as Abassa in Pananij, but now about four years ago left for Porka after the fire and living there, from whom place now about six days ago, the confessant with his aforementioned owner Awassa, arrived in Cochim and after two days was sold further by him to the Moor Cheko, who presented him the next day to a Buginese vaandrig for sale.']","[""Here is the translation of the early modern Dutch text into contemporary English:\n\nCompared before the court: committed members of the Council of Justice of this place, the slave young Apocre, who was previously known as Chego with the name Chacko, born 5 miles inland from'slands on Panani, who under the guidance of the Gev: Moor Abassa, Coenje Pokre, and Cheko, who he knew well to know, voluntarily confessed and declared, through translation in the Mallabaarse language how that he, the confessor, was very small since, by his parents to Panani, in the name of Moeniaan Koedij is sold, by whom two months residing, this Koedij him further sold to the Moor Abassa, at that time also living on Pananij, and having lived there for about four years ago after the fire to Pananij to Porka departed and having lived there: from which last place now about 6 days ago, the confessor with his boss Awassa, arriving here on Cochim two days later, was further sold by the same to the Moor Cheko; who him again the next day presented to a Buginese merchant for sale.""]","['Compareerde voor de naegen: gecommitteerde leeden uit den agtb: Raad van Justitie deser steede den slave jonge Apocre, voor deser sijnde geweest casta Chego met name Chacko, geboortig 5. mijlen binnen ‘slands op Panani, denwelken onder verthoning van de gev: moor Abassa, Coenje Pokre, en Cheko, die hij bekend wel te kennen, vrijwillig geconfesseert ende beleden heeft, door vertaling in de Mallabaarse taale hoe dat hij confessant heel kleen sijnde, door sijn ouders aan seeker moor tot Panani, in name Moeniaan Koedij is verkogt geworden, bij wien twee maanden verblijvende, desen Koedij hem wijders verkogt heeft aan den moor Abassa, toen ter tijd meede op Pananij woonende, edog nu omtrend vier jaaren geleden na de brand tot Pananij nae Porka vertrokken en aldaar gewoont hebbende: van welken laatsten plaatse nu omtrend']","['There appeared before the undermentioned delegated members of the honourable Council of Justice of this city the slave jonge Apocre, who used to be a casta Chego named Chacko, born in a distance of five miles in the land of Pananij, who, upon being shown the prisoner Moor Abassa, Coenje Pokre and Cheko, whom he acknowledged to know well, voluntarily confessed and admitted, that because he, the confessant, was very small, he was sold to a certain Moor in Pananij, named Moeniaan Koedij, by his parents; with whom he stayed for two months, until this Koedij sold him further to the Moor Abassa, who at that time was also residing in Pananij, yet now about four years ago he left from there because of the fire in Pananij and arrived in Porka, and there he has been living for about six days ago, when the confessant arrived here with his aforementioned boss Awassa, and the next day he was further put up for sale to the Moor Cheko by him; who offered him the next day to a Buginese vaandrig for sale.']","[""Appeared before the eyes: appointed members from the 8th Council of Justice of this place examined the slave young Apocre, who had been known as casta Chego with the name Chacko, born 5 miles within 'slands on Panani, whom, under the custody of the Moor Abassa, Coenje Pokre, and Cheko, whom he recognized, willingly confessed and declared, through translation in the Malabar language, how that he, being a small confessant, had been sold by his parents to the Moor at Panani, in name Moeniaan Koedij, was sold; while staying with him for two months, this Koedij sold him again to the Moor Abassa, who, at the time, was also living on Pananij; and now, approximately four years ago, after the fire at Pananij to Porka, he departed and lived there; from whom last place, he, the confessant, with his master Awassa, arrived here at Cochim two days ago, and was again sold the same day by him to the Moor Cheko; who presented him the next day to a Buginese officer for sale.""]","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nAppeared before the honourable members of the Council of Justice of this city the slave young Apocre, formerly known as Chego with the name Chacko, born 5 miles inland from Panani, who, under the guidance of the aforementioned Moor Abassa, Coenje Pokre, and Cheko, who he knew well, voluntarily confessed and declared that, being a small child, he was sold by his parents to a Moor in Panani, named Moeniaan Koedij, who kept him for two months before selling him to the Moor Abassa, who was living in Panani at the time, about four years ago after the fire in Pananij to Porka, where he had been living; from which place, about 6 days ago, he, the confessant, arrived here in Cochim with his aforementioned master Awassa, and two days later was sold by the latter to the Moor Cheko, who presented him the same day to a Bugis sailor for sale.assistant: Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nAppeared before the honourable members of the Council of Justice of this city the slave young']"
7,7,"Voor de vertaling, [get.] H: v: Linde.","For the translation, [signed] H. v. Linde.","For the translation, [signed] H: v: Linde.",['\nFor the translation of the aforementioned early modern'],"['For the translation, [get.] H: v']","['For the translation, [signed] H. V. L']","['For the translation, [signed] H. v. Lin']",['Please translate the following early modern Dutch text sentence into contemporary English'],"['For the translation, [signed] H. v. Lin']","['For the translation, [signed] H. v. Lin']","['For the translation, [get.] H: v: L']",['Please translate the following early modern Dutch text sentence into contemporary English']
