Label,length,input,human-expert,Llama & Assistant,Llama 3 Unsloth,mistral unsloth,mistral-7B-instruct-v0.3,,,Evaluation Human-expert,Evaluation Llama& Assistant,Llama 3 Unsloth,Mistral Unsloth,Mistral Base
2,5,Weledele achtbaare heer en heeren!,Right honourable lord and lords!,['[signed] Honourable lord and lords'],['Honourable lord and lords!'],['Honourable lord and lords!'],['Worthy honorable sirs and lords'],,,1. yes 2. no 3. n/a 4. yes ,"1. no, adds the word 'signed' 2. no 3 n/a 4.yes",1. yes 2. no 3. n/a 4.yes ,1. yes 2. no 3. n/a 4. yes,"1. no, it mistranslated to plural twice 2. yes, see previous 3. n/a 4. yes "
8,5,Waar haar soon is gebleven?,Where her son has been?,['Where her son stayed?'],['Where her son is left?'],['Where her son stayed?'],['Where has she stayed?'],,,1. yes 2. no 3. yes  4. yes ,1. yes 2. no 3. yes  4. yes ,1. yes 2. no 3. yes  4. yes ,1. yes 2. no 3. yes  4. yes ,1. yes 2. no 3. yes  4. yes 
2,5,"Interrogatoria voor Maleparte Marian, C.","Interrogation of Maleparte Marian, C.","['Interrogations for Malepart Marian, C']","['Interrogations for Maleparte Marian,']","['Interrogations for Maleparte Marian,']",['Interrogatories for Maleparte Marian'],,,,,,,
7,5,"Gesteld bij Joan Dias, [get.].",Set by Joan Dias [signed].,"['Set by Joan Dias, [signed].']","['Set by Joan Dias, [signed].']","['Set by Joan Dias, [signed].']","['Established by Joan Dias, [']",,,1. yes 2. no 3 yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 4. yes 4. yes,1. yes 2. no 3. yes 4. yes 'gesteld' mistranslated as established
5,5,Antw: Ja maar niet geborgen.,"Answer: Yes, but [she was] not hidden.","['Answer: Yes, but not secured']","['Answer: Yes, but not retrieved']","['Answer: Yes, but not hidden']","['Answer: Yes, but not secure']",,,,,,,
7,5,Antw: uit vreese voor slagen.,Answer: Out of fear of receiving beatings.,['Answer: In fear of blows.'],['Answer: Out of fear for blows.'],['Answer: Out of fear for blows'],['Answer: in fear of blows.'],,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes 
8,5,Gesteld bij [get.] Coenje Angelij.,Set by [signed] Coenje Angelij.,['Set by [signed] Coenje Ang'],['Set by [signed] Coenje Angelij'],['Set by [signed] Coenje Ang'],['Established by Coenje Angelij'],,,,,,,
7,5,"Accordeert, [get.] Joan Klijn, secret:s.","Approves, [signed] Joan Klijn, secretary.","['Approves, [signed] Joan Klijn,']","['Approves, [signed] Joan Klijn, secretary']","['Approves, [signed] Joan Klijn, secretary.']","['Agree, Joan Klijn, secretly.']",,,,,,,
8,5,"Accordeert, [get.] Joan Klijn, secret:.","Approves, [signed] Joan Klijn, secretary.","['Approves, [signed] Joan Klijn,']","['Approves, [signed] Joan Klijn,']","['Approves, [signed] Joan Klijn, secretary']","['Agree, Joan Klijn, secretly.']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. yes 3. yes 4. yes  'accodeert' mistranslated as 'agree'
5,5,Articulen van den tweede gev:.,Articles of the second prisoner.,['Articles of the second prisoner.'],['Articles of the second prisoner.'],['Articles of the second prisoner.'],['Articles of the second point:'],,,,,,,
