input,output,instruction,Label,length
"Compareerde voor de naargen:, gecommitteerde leeden uit den agtb: Raad van Justitie deser steede den heijdens wasser Madden, van Calicoilan, oud nae aansien 30. jaaren, denwelken onder verthoning van de gev: mooren Miraan, en Miran Poela, mits gaders de vrijvrouw Malickoema, die hij allegaar verklaard wel tekennen, en deselfde te wesen, van dewelke in desen is sprekende, ten requisitie van den ondercoopman en fiscaal deses commandements Nicolaas Bowijn, door vertaling van den jongtolk, attesteerde waar en waaragtig tewesen; dat nu ruim twee jaaren geleden, den attestant op sijn woonplaats, Calicoilan sijnde, de moorse vrijvrouw bovengem:, verscheijde reijsen aan sijn huis is gekomen, eenige boesoeroeken, betel, en areek versoekende, soo als deselve bij de andere inwoonders ter gem: plaatse ook deede, en dat hij attestant uit medelijden, aan deselve nu en dan iets meede deelde; dat gem: vrouw siek ge worden sijnde , den attestant door commiseratie en sonderlijke genegentheijt, alle moeijte en sorge tot haar genesing heeft aangewend, en in de 50. ropias in haar siekte verquastert.","There appeared before the undermentioned delegated members of the honourable Council of Justice of this city, the heathen wasser Madden, of Calicoilan, estimated age 30 years, who on display of the imprisoned Moors Miraan, and Miran Poela, together with the free woman Malickoema, whom he all declared to know well, and being the same that are mentioned here, at the request of the second merchant and fiscal of this district, Nicolaas Bowijn, by translation of the junior interpreter, testified it to be true and truthful; that more than two years ago, the testifier being in his place of residence, in Calicoilan, the aforementioned Moorish free woman came to his house several times, asking for some boesoeroeken, betel and arrack, as she did with the other inhabitants of the mentioned place as well, and that the testifier gave her something now and then out of pity; that when the mentioned woman had fallen ill, the testifier, through sympathy and exceptional affection, took all effort and care in order to heal her, and spent around 50 ropias on treating her illness.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",5,167
"Voor de vertaling, [get.] B: D: Brouwer, ondertolk.","For the translation, [signed] B. D. Brouwer, junior interpreter.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",4,8
"Of den gev: siende dat hem over gem: meijd wierd aengesproken, aan den gene, bij wien zij van hem is gaan werken, niet heeft gevraagd, waar zij is belant?","Whether the prisoner seeing that he was approached about the mentioned meijd did not ask the person, for whom she went to work for after him and where she ended up ?","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",7,29
N:r de ola is soo vitieus datse allerwegen discordeerd met een wettige slaefbaere ola.,Note: the ola is so deficient that it is discordant in every respect regarding a lawful slaveable ola.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",4,14
"Antw: Verboden handel van slaven heb ik nooit gedaan, maar omdat dese meijd een slavin van mijne vrienden is, heb ik sulx onderstaan.","Answer: I have never conducted the forbidden trade of slaves, but because this meijd is a slave of my friends, I have undertaken such.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",5,23
"Mijn present, [get.] Joan Klijn, secret:.","In my presence, [signed] Joan Klijn, secretary.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",5,6
"Aldus gerecolleert gepersisteert nader gevraagt en b’antwoord, binnen de stad Cochim, ter ordinaris Raadcamer op den 25. Junij anno 1742 in preesentie van de E:s C:s van Meeckeren en Stephanus van Zuijlen beijde leeden uit den Raad voorm:.","Thus verified, persisted with, questioned and answered, within the city of Cochim, at the ordinary Chamber on 25 June 1742 in the presence of the honourables C.s. van Meeckeren and Stephanus van Zuijlen, both members of the aforementioned Council.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",5,38
"In mijn kennis, [get.]J: V: D: Poel, g:klerk.","In my knowledge, [signed] J. V. D. Poel, sworn clerk.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",2,8
"Gelijk dat omstandiger te zien is bij het extract, dat hier nevens onder L:a E: te vinden is.",As can be seen in more detail in the extract that can be found herewith under letter E.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,18
"Het is onnodig agtb: heeren om over dit geval breedvoeriger te spreeken, en de schelmerijen van den gev: verder aan den dag te leggen, vermits deselve aan alle kanten duijdelijk doorstralen.","It is unnecessary, honourable lords, to speak of this case more elaborately and to display the rogueries of the prisoner any further, as these are all very evident.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,31
